訂單編號,廠商交易編號,狀態,日期,姓名,超商門市,賣貨便編號_1,賣貨便編號_2,電話,商品名稱,數量,商品金額,總金額,訂單備註,付款方式,Email
713,h1pr00000049024763,完成,2024-09-27 18:46,Sophia White,成佳門市,J8044615,3367,0966194926/,Catherine Sakura Polaroid,1,250,315,,貨到付款,emily.johnson5872@gmail.com
718,h1pr00000054984143,完成,2024-09-27 18:53,Chris Taylor,金沅門市,J8044338,6376,0943646057/,Catherine Sakura Polaroid,1,250,315,,貨到付款,emily.martin6324@gmail.com
724,h1pr00000072861233,完成,2024-09-27 18:59,Emily Smith,苗勝門市,J8044058,8267,0911745466/,Chelsea Sakura Polaroid,1,250,315,,貨到付款,david.thomas2100@gmail.com
725,h1pr00000020938349,完成,2024-09-27 18:59,Jessica Jackson,鑫鑫門市,J8043783,8951,0913913905/,Catherine Sakura Polaroid,1,250,315,,貨到付款,david.harris6172@gmail.com
726,h1pr00000030789998,已取消,2024-09-27 19:36,Emily Thomas,嘉文門市,J8043566,7077,0953191853/,Chelsea Sakura Polaroid,1,250,315,,貨到付款,emma.brown5237@gmail.com
727,,等待付款中,2024-09-27 19:45,Hailey Chen,,,,0953191853/,Chelsea Sakura Polaroid,1,250,315,,貨到付款,jessica.thomas9176@gmail.com
728,h1pr00000072462378,完成,2024-09-27 19:56,Sarah White,揚都門市,J8043188,315,0952060783/,"Chelsea Sakura Polaroid
Catherine Sakura Polaroid","1
1",500,565,,貨到付款,david.thomas1915@gmail.com
732,h1pr00000038437589,完成,2024-09-27 21:05,John White,皇裕門市,J8042995,3599,0952261521/,Chelsea Sakura Polaroid,1,250,315,,貨到付款,emily.johnson3106@gmail.com
733,h1pr00000079173659,完成,2024-09-27 22:37,David Martin,嶺春門市,J8042800,4219,0990381027/,Chelsea Sakura Polaroid,1,250,315,,貨到付款,chris.johnson2264@gmail.com
737,h1pr00000091019359,完成,2024-09-28 02:12,Sarah Taylor,新壢門市,J8042553,6280,0956657416/,Chelsea Sakura Polaroid,1,250,315,,貨到付款,emily.taylor191@gmail.com
738,h1pr00000031061918,完成,2024-09-28 06:50,Sarah Johnson,東埔門市,J8042058,9277,0963617773/,"Catherine Sakura Polaroid
Chelsea Sakura Polaroid","1
1",500,565,,貨到付款,sophia.johnson653@gmail.com
739,h1pr00000016638441,完成,2024-09-28 11:14,David Johnson,文忠門市,J8041726,5752,0992002007/,Chelsea Sakura Polaroid,2,500,565,,貨到付款,michael.martin6837@gmail.com
740,h1pr00000091948139,完成,2024-09-28 14:11,Jessica Taylor,樂華門市,J8041412,2114,0980540817/,Chelsea Sakura Polaroid,1,250,315,,貨到付款,michael.jackson9607@gmail.com
741,h1pr00000062643448,完成,2024-09-28 15:52,Emma Martin,新林眾門市,J8040908,3901,0929593619/,"Chelsea Sakura Polaroid
Catherine Sakura Polaroid","1
1",500,565,,貨到付款,emma.harris6104@gmail.com
742,h1pr00000086662164,完成,2024-09-28 16:10,Michael Johnson,新五廊門市,J8040562,5431,0924268322/,"Chelsea Sakura Polaroid
Catherine Sakura Polaroid","1
1",500,565,,貨到付款,emma.anderson2539@gmail.com
743,h1pr00000060564553,完成,2024-09-28 16:43,David Jackson,長業門市,J8040122,2214,0913555235/,Chelsea Sakura Polaroid,1,250,315,,貨到付款,chris.thomas2987@gmail.com
744,,等待付款中,2024-09-28 17:28,Lawrence Kuo,,,,0953166653/,Catherine Sakura Polaroid,1,250,315,,貨到付款,david.jackson9905@gmail.com
